Phrase	Translation
你喜欢中国吗？	[['Do you like China?', 1020310.0]]
认识你很高兴	[['Very happy to meet you.', 1159691.0]]
你喜欢学校吗?	[['Do you like school?', 1098292.0]]
你喜欢苹果吗？	[['Do you like apples?', 29617.0]]
你能看吗？	[['Can you see?', 1553530.0]]
你吃了什么？	[['What did you eat?', 1830499.0]]
你睡觉了吗？	[['Are you sleeping?', 2244966.0]]
你睡觉吗？	[['Are you sleeping?', 2244966.0]]
你喝茶了吗？	[['Have you drank tea?', 3378196.0]]
你喝茶了吗?	[['Did you drink tea?', 3378235.0]]
你喝茶吗？	[['Do you drink tea?', 3378237.0]]
你爱吃什么水果	[['Which fruit do you like?', 4713308.0]]
你喝多了。	[["You're way too drunk.", 4764595.0]]
你喜欢你的工作吗？	[['Do you like your work?', 3815121.0]]
你好！	[['Hello!', 373330.0]]
你看来不大高兴。	[["You don't look so happy.", 2044558.0]]
你什么时候睡觉？	[['When is your bedtime?', 5011412.0]]
你明天工作吗？	[['Are you working tomorrow?', 2629000.0]]
你昨天喝茶了吗？	[['Did you drink tea yesterday?', 3157608.0]]
你昨天没来学校。	[['You did not come to school yesterday.', 16115.0]]
你现在高兴吗？	[['Are you happy now?', 971988.0]]
你买了多少东西？	[['How many things did you buy?', 2167402.0]]
你喜欢看电影吗？	[['Do you like to watch movies?', 4264743.0]]
你的电脑怎么了？	[['What happened to your computer?', 5285527.0]]
你不来了。	[['You are not coming.', 6482986.0]]
你吃了吗？	[['Did you eat already?', 6713410.0]]
看看你！	[['Look at you!', 6581132.0]]
我们不会再见你了。	[["We won't see you again.", 3910176.0]]
你同学的衣服很漂亮。	[["Your classmate's clothes are very pretty.", 7211471.0]]
你喜欢茶吗？	[['Do you like tea?', 1098230.0]]
你喜欢吃水果吗？	[['Do you like to eat fruit?', 7681639.0]]
你喜欢吃什么菜？	[['What dishes do you like to eat?', 7768481.0]]
你怎么了？	[["What's up with you?", 2193749.0]]
你回来了。	[['You returned.', 3282474.0]]
你怎么不睡觉呢？	[["Why don't you go to sleep?", 2892943.0]]
你二了。	[["You're stupid.", 2123495.0]]
你不冷吗？	[["Aren't you cold?", 2244975.0]]
你很好。	[['You are good.', 1120755.0]]
你没吃。	[["You didn't eat.", 9286376.0]]
你的名字叫什么？	[['What is your name?', 70623.0]]
你喜欢中国菜吗？	[['Do you like Chinese food?', 1098276.0]]
你看电视吗？	[['Do you watch TV?', 1626139.0]]
你高兴了吗？	[['Are you satisfied now?', 1495860.0]]
你喜欢电影吗？	[['Do you like movies?', 26454.0]]
你喜欢猫吗？	[['Do you like cats?', 2733074.0]]
你会来吗？	[['Are you coming?', 1417464.0]]
七点了。	[['It is seven now.', 241586.0]]
多少钱?	[['How much does it cost?', 436193.0]]
多少钱？	[['How much does this cost?', 432824.0]]
请吃点菜。	[['Please eat something.', 402749.0]]
请。	[['Please.', 393357.0]]
你能请个医生来吗？	[['Could you call a doctor, please?', 27899.0]]
请回来！	[['Come back.', 1972611.0]]
请喝茶！	[['Please drink tea.', 2366729.0]]
请回来。	[['Turn back, please.', 240168.0]]
请回家。	[['Please come back home.', 3823800.0]]
去看电影怎么样？	[['Why not go to the movies?', 26477.0]]
你不去吗？	[["Won't you go?", 241051.0]]
你去看医生了吗？	[['Did you see a doctor?', 28040.0]]
我们去学校学习。	[['We go to school to study.', 249354.0]]
你昨天去哪里了？	[['Where did you go yesterday?', 63281.0]]
昨天没学生去那。	[['No students went there yesterday.', 244391.0]]
我们现在能回去吗？	[['Can we go back now?', 3327449.0]]
你明天去学校。	[["You'll go to school tomorrow.", 20112.0]]
爸爸去哪了?	[['Where did dad go?', 318877.0]]
你去学校了吗？	[['Did you go to school?', 7819918.0]]
你去了几回？	[['How many trips did you make?', 7841344.0]]
你什么时候去那里？	[['When did you go there?', 66313.0]]
你什么时候去？	[['When are you going?', 1886666.0]]
你怎么去学校？	[['How do you go to school?', 38327.0]]
昨天的天气很热。	[['It was hot yesterday.', 244519.0]]
今天天气很热。	[["It's hot today.", 242881.0]]
你不热吗？	[["Aren't you hot?", 2951539.0]]
今天热吗？	[['Is it hot today?', 6750931.0]]
北京热吗？	[['Is Beijing hot?', 6750936.0]]
今天不热，今天很冷。	[["It's not hot today, it's cold.", 8651138.0]]
今天很热。	[["Today it's quite hot.", 3344376.0]]
人不吃人。	[["Man doesn't eat man.", 541842.0]]
你没看见那个人吗？	[["Didn't you see the man?", 1538711.0]]
人呢？	[['Where is the person?', 6608393.0]]
我们都看见那个人了	[['We all saw that man.', 4713295.0]]
今天来了很多人。	[['A lot of people came today.', 9203466.0]]
没人看见你。	[['No one has seen you.', 8922189.0]]
那里人好多。	[['There were so many people.', 41136.0]]
多少人？	[['How many people?', 24515.0]]
你喜欢日本菜吗？	[['Do you like Japanese cuisine?', 7964616.0]]
现在三点。	[["It is three o'clock right now.", 6534837.0]]
Tom上飞机了。	[['Tom got on the airplane.', 2545813.0]]
Steve看上去很高兴。	[['Steve looks quite happy.', 4971604.0]]
你看上去很好。	[['You look very nice.', 3330999.0]]
少了什么？	[['What is missing?', 25227.0]]
谁来了？	[['Who came?', 2203607.0]]
你爱谁？	[['Who do you love?', 1568786.0]]
爱谁谁。	[['Who cares?', 40434.0]]
谁？	[['Who?', 2083030.0]]
你和谁说话呢？	[['With whom were you speaking?', 2982256.0]]
谁爱谁？	[['Who loved who?', 2254860.0]]
谁是你的汉语老师?	[['Who is your Chinese teacher?', 335141.0]]
我们是同学。	[['We are classmates.', 2801124.0]]
你是人。	[["You're a person.", 433601.0]]
那是我们的学校。	[['That is our school.', 67053.0]]
Tom 和 John 是好朋友。	[['Tom and John are good friends.', 37385.0]]
你是学生吗？	[['Are you a student?', 69521.0]]
那人是谁？	[['Who is this person?', 488778.0]]
你是哪里人？	[['Where are you from?', 370703.0]]
你是谁？	[['Who are you?', 356200.0]]
我们三个都是学生。	[['All three of us are students.', 410486.0]]
那是什么？	[['What is that?', 464592.0]]
你现在是大人了。	[['You are now an adult.', 16387.0]]
你是大学生吗？	[['Are you a college student?', 275628.0]]
那不是猫。那是狗。	[["That's not a cat. It's a dog.", 475753.0]]
是的。	[['Yes.', 477086.0]]
今天是星期六。	[['Today is Saturday.', 661572.0]]
很大, 不是吗?	[["Large, isn't it?", 435613.0]]
你昨天没来学校, 是吗?	[["You didn't come to school yesterday, did you?", 16114.0]]
谁是你老师？	[['Who is your teacher?', 17660.0]]
那是很大的。	[["That's very big.", 450005.0]]
你是日本人吗？	[['Are you Japanese?', 515572.0]]
今天很热，不是吗?	[["It's hot today, isn't it?", 242884.0]]
昨天不是很冷。	[['It was not very cold yesterday.', 244476.0]]
你是医生吗？	[['Are you a doctor?', 502228.0]]
你不会来，是吗？	[["You aren't coming, are you?", 6898313.0]]
爱是什么？	[["What's love?", 9359671.0]]
是Edward。	[['This is Edward.', 1076011.0]]
是吗？	[['Is that so?', 1120776.0]]
明天是星期六吗？	[['Is tomorrow Saturday?', 1163476.0]]
你是学生。	[["You're a student.", 10048125.0]]
今天是星期日。	[['Today is Sunday.', 63119.0]]
我们是好朋友。	[["We're good friends.", 2548495.0]]
你不是学生。	[['You are not a student.', 69165.0]]
不是我们。	[["It's not us.", 1693272.0]]
你是日本学生吗？	[['Are you a Japanese student?', 15870.0]]
谁是 Emily?	[['Who is Emily?', 2064575.0]]
你的爱好是什么？	[['What is your hobby?', 6616325.0]]
你是什么时候来的？	[['When did you get here?', 954601.0]]
不是。	[["It's not.", 7156649.0]]
你是不是老师？	[['Are you not a teacher?', 3378215.0]]
你是中国人吗？	[['Are you Chinese?', 1098145.0]]
你是不是医生？	[['Are you a doctor?', 502228.0]]
哪个杯子是你的？	[['Which cup is yours?', 1554393.0]]
来的都是朋友。	[['Whenever you come, you are welcome.', 65958.0]]
那是爱吗？	[['Is it love?', 663921.0]]
谁是你的老师？	[['Who is your teacher?', 17660.0]]
你不是日本人。	[["You're not Japanese.", 7319794.0]]
那是谁？	[['Who is that?', 2176388.0]]
今天是星期三。	[["Today it's Wednesday.", 7889865.0]]
我们是朋友。	[["We're friends.", 2107346.0]]
昨天天气不是很好。	[["Yesterday's weather wasn't very good.", 5920126.0]]
那是很多钱。	[["That's a lot of cash.", 3594108.0]]
我们是谁？	[['Who are we?', 2254698.0]]
我们是六个人。	[['We are six people.', 6276493.0]]
我们是什么？	[['What are we?', 6276583.0]]
谁和谁是同学？	[['Who and who are classmates?', 6276590.0]]
你是哪里人呢？	[['Where are you from?', 370703.0]]
不是吗？	[['No?', 1158522.0]]
今天是星期二，明天是星期几？	[['Today is Tuesday. Which day is it tomorrow?', 7213363.0]]
很高兴人是你	[['You are a very happy person.', 7767724.0]]
是。	[['Yes.', 477086.0]]
我们是三个人。	[['There are three of us.', 3519566.0]]
学习是学生的工作。	[["Studying is a student's work.", 7791034.0]]
去年的今天是星期几?	[['What day of the week was it this time last year?', 7797425.0]]
很好不是吗？	[["Isn't that good?", 7799670.0]]
会是谁呢？	[['Who will it be?', 8261963.0]]
谁是你爸爸？	[["Who's your daddy?", 3428703.0]]
哪个是你的杯子？	[['Which cup is yours?', 1554393.0]]
我们是人。	[['We are people.', 671753.0]]
是日本菜吗？	[['Is it Japanese food?', 42195.0]]
你是哪里的人？	[['Where are you from?', 370703.0]]
你是老师吗？	[['Are you a teacher?', 2894605.0]]
是你吗？	[['Is it you?', 1259560.0]]
哪本是你的书？	[['Which book is yours?', 37928.0]]
哪本书是你的？	[['Which book is yours?', 37928.0]]
那是你的书。	[['That is your book.', 67105.0]]
你读了那本书吗？	[["You've already read the book?", 894811.0]]
你爱读书吗？	[['Do you like to study?', 70275.0]]
桌子上的书是谁的？	[['Whose book is this on the desk?', 1263814.0]]
你买了什么书？	[['What books did you buy?', 3738945.0]]
你什么时候读书？	[['When do you study?', 70172.0]]
读好书。	[['Read good books.', 5614580.0]]
喝水。	[['Drink water.', 6746662.0]]
我们没水。	[["We don't have any water.", 4497887.0]]
你喝水吗？	[['Do you drink water?', 8879734.0]]
昨天是星期四。	[['Yesterday was Thursday.', 528533.0]]
下午四点。	[["At four o'clock in the afternoon.", 6534835.0]]
今天是星期四。	[["It's Thursday.", 5628586.0]]
Muiriel现在20岁了。	[['Muiriel has turned twenty.', 1415809.0]]
你几岁了？	[['How old are you?', 436243.0]]
你十岁了吗？	[['Are you ten?', 4321203.0]]
你几岁?	[['How old are you?', 436243.0]]
你儿子几岁?	[['How old is your son?', 436251.0]]
你几岁了	[['How old are you?', 436243.0]]
他明天能来吗？	[['Will he be able to come tomorrow?', 68116.0]]
他认识很多人。	[['He knows many people.', 1774965.0]]
他学习汉语。	[['He studies Chinese.', 288241.0]]
他很高兴。	[["He's happy.", 3340752.0]]
他是医生吗？	[['Is he a doctor?', 293616.0]]
很多人认识他。	[['Very many people know him.', 1445013.0]]
他是个日本少年。	[["He's a Japanese boy.", 10585988.0]]
他是谁？	[["Who's he?", 2203694.0]]
他是医生。	[["He's a doctor.", 5226593.0]]
他是个好学生。	[['He is a good student.', 293224.0]]
他是个好人。	[["He's a good lad.", 2675712.0]]
大家都认识他的名字。	[['Everybody knows his name.', 276452.0]]
我们不认识他。	[["We don't know him.", 383016.0]]
他怎么没来？	[["How come he didn't show up?", 395264.0]]
你是怎么认识他的？	[['How did you get to know him?', 38626.0]]
他六点回来了。	[['He returned at six.', 761927.0]]
你认识他吗?	[['Do you know him?', 69003.0]]
他多大了？	[['How old is he?', 288982.0]]
他是不是医生？	[['Is he a doctor?', 293616.0]]
他不喜欢我们。	[['He does not like us.', 773913.0]]
他叫什么名字？	[['What is his name?', 287637.0]]
大家都喜欢他。	[['He is liked by everybody.', 292994.0]]
他今天下午会来的。	[['He will come this afternoon.', 296197.0]]
认识他的人都爱他。	[['He was loved by everyone that knew him.', 777583.0]]
他去了商店。	[['He went to the store.', 485111.0]]
他是老师吗?	[['Is he a teacher?', 300638.0]]
他喜欢看电视。	[['He likes watching TV.', 388834.0]]
明天他会回来。	[['He will be back tomorrow.', 304103.0]]
昨天他喝了很多。	[['He drank a lot yesterday.', 435643.0]]
他昨天来看你。	[['He came to see you yesterday.', 283672.0]]
我们认识他。	[['We know him.', 262783.0]]
他是我们学校的老师。	[['He is a teacher at our school.', 297391.0]]
他喝很少的水。	[['He drank very little of the water.', 291072.0]]
他喜欢中国吗?	[['Does he like China?', 1098265.0]]
他会来的。	[['He will come.', 304552.0]]
他是日本人吗？	[['Is he Japanese?', 1123762.0]]
他喜欢茶。	[['He likes tea.', 1098268.0]]
他明天会来。	[['He will come tomorrow.', 304126.0]]
他是你的朋友。	[["He's your friend.", 1780049.0]]
他喜欢睡觉。	[['He likes sleeping.', 1676741.0]]
他是个很好的老师。	[['He is a very good teacher.', 770129.0]]
明天他工作吗？	[['Is he working tomorrow?', 2311274.0]]
他没去医院	[["He didn't go to hospital.", 4713303.0]]
他是医生吗	[['Is he a doctor?', 293616.0]]
他明天不回来。	[['He will not be back tomorrow.', 304104.0]]
他来了。	[['He came.', 853153.0]]
他会回来的。	[['He will come back.', 304209.0]]
看来他很好。	[['It seems that he is fine.', 3706983.0]]
他不是老师。	[['He is not the teacher.', 5870619.0]]
谁是他朋友？	[['Who is his friend?', 6276594.0]]
你不认识他。	[["You don't know him.", 6276601.0]]
他没吃。	[["He hasn't eaten.", 6139120.0]]
他回来了。	[["He's back.", 6610868.0]]
他吃。	[['He eats.', 6702018.0]]
他是老师。	[["He's a teacher.", 8478426.0]]
他很少吃水果。	[['He seldom eats fruits.', 7841346.0]]
你去叫他来。	[['Tell him to come.', 8264656.0]]
他是医生来的。	[['He is a doctor.', 293611.0]]
他读很多书。	[['He reads a lot of books.', 3232302.0]]
那是他家。	[["That's his house.", 794269.0]]
他明天会来吗？	[['Will he come tomorrow?', 453389.0]]
你和他是朋友吗？	[['Are you friends with him?', 9285241.0]]
他说话了。	[['He spoke.', 1564976.0]]
他不是学生。	[['He is not a student.', 2730657.0]]
他会来吗？	[['Will he come?', 7533454.0]]
你认识他吗？	[['Do you know him?', 69003.0]]
他是人。	[['He is human.', 288208.0]]
看他。	[['Look at him.', 2355809.0]]
他不爱说话。	[["He's not a talkative person.", 10650280.0]]
她来了！	[["She's coming!", 1211537.0]]
她回家了。	[['She went home.', 312850.0]]
你是怎么认识她的？	[['How did you come to know her?', 16493.0]]
看！她来了！	[['There! She comes!', 43221.0]]
她很漂亮。	[["She's pretty.", 795929.0]]
她不喜欢他。	[["She didn't like him.", 388373.0]]
她昨天去那里。	[['She went there yesterday.', 313813.0]]
他爱她。	[['He loves her.', 394633.0]]
你是她的女儿。	[["You're her daughters.", 20098.0]]
她是医生了。	[["She's a doctor now.", 841852.0]]
她是昨天去的。	[['It was yesterday that she went.', 844451.0]]
她昨天去了医院。	[['She went to the hospital yesterday.', 313808.0]]
她很漂亮，不是吗？	[["She is very pretty, isn't she?", 311742.0]]
她是你妈妈吗?	[['Is she your mother?', 310268.0]]
她不是医生吗？	[["Isn't she a doctor?", 312528.0]]
她认识你吗？	[['Does she know you?', 313373.0]]
你认识她吗？	[['Do you know her?', 317616.0]]
她是日本人。	[['She is Japanese.', 1163570.0]]
她是Betty。	[['She is Betty.', 312150.0]]
她是日本人吗？	[['Is she Japanese?', 1123763.0]]
她昨天来看我们。	[['She came to see us yesterday.', 313823.0]]
她去买东西。	[["She's going shopping.", 8960821.0]]
她十七岁了。	[["She's seventeen years old.", 2765316.0]]
她很喜欢猫。	[['She adores cats.', 311908.0]]
她去医院了	[['She went to hospital.', 4713273.0]]
她很高兴	[['She is very happy.', 4713299.0]]
她没去看电影	[["She didn't go to watch movie.", 4713306.0]]
她不来了。	[["She didn't come.", 6139116.0]]
她回来了。	[["She's returned.", 7213856.0]]
她什么时候去？	[['At what time is she going?', 7789281.0]]
她的女儿都很漂亮。	[['All of her daughters are beautiful.', 7796500.0]]
她不喜欢去学校。	[["She doesn't like going to school.", 2052203.0]]
她叫什么？	[['What is her name?', 7263860.0]]
她十二岁。	[["She's 12 years old.", 8780295.0]]
她吃。	[['She is eating.', 527192.0]]
她是谁？	[['Who is she?', 315731.0]]
她工作了。	[['She worked.', 7497761.0]]
她是四十岁。	[['She is forty years old.', 4566557.0]]
她是医生。	[["She's a doctor.", 3143495.0]]
你和她是朋友吗？	[['Are you friends with her?', 9285243.0]]
她没吃。	[["She didn't eat.", 9286378.0]]
她叫什么名字？	[["What's her name?", 773175.0]]
大家都喜欢她。	[['Everyone likes her.', 430471.0]]
她爱他，他爱她。	[['She loved him and he loved her.', 2664757.0]]
她不会喜欢的。	[["She won't like this.", 1547507.0]]
她好看吗？	[['Is she beautiful?', 2502584.0]]
我们都喜欢她。	[['All of us like her.', 249513.0]]
她儿子怎么样了？	[['What has become of her son?', 309537.0]]
她和她的家人都很好。	[['She and hers are all very well.', 317549.0]]
她八岁大。	[['She is eight.', 310214.0]]
她八岁。	[['She is eight.', 310214.0]]
她朋友很少。	[['She has few friends.', 451212.0]]
太好了！	[['Great!', 395934.0]]
钱太多了吗？	[['Too much money?', 18628.0]]
太多了。	[["That's too much.", 31571.0]]
你太太怎么样？	[['How is your wife?', 879669.0]]
你太漂亮了！	[["You're so beautiful!", 385394.0]]
那太好了，不是吗？	[["That's good, isn't it?", 435579.0]]
那里太多人了。	[['There are too many people there.', 2682236.0]]
那太多了吗？	[['Was that too much?', 3392977.0]]
那不太好。	[["That wasn't very good.", 5411382.0]]
不, 不会太多。	[['No, not too much.', 66820.0]]
你的衣服太漂亮了。	[['Your clothes are extremely beautiful.', 7795838.0]]
你看上去不太好。	[["You don't look so hot.", 67695.0]]
太热了。	[["It's too hot.", 267106.0]]
他没听。	[["He doesn't listen.", 2269440.0]]
听！	[['Listen!', 1319588.0]]
请听！	[['Please listen!', 6581147.0]]
她不听老师的。	[["She doesn't listen to her teacher.", 2269447.0]]
你没听。	[["You haven't been listening.", 3358949.0]]
喂。	[['Speaking.', 249554.0]]
喂，是120吗？	[['Hey, is it 120?', 8261951.0]]
我叫Jack。	[["My name's Jack.", 758904.0]]
我爱你。	[['I love you!', 2365642.0]]
我不工作.	[['I do not work.', 333485.0]]
我的朋友十七岁了。	[['My friend is seventeen.', 761867.0]]
我是中国人。	[['I am Chinese.', 335138.0]]
是我。	[['It is I.', 1250346.0]]
我现在30岁了。	[["I'm thirty years old now.", 6872935.0]]
我家很大。	[['My house is big.', 250554.0]]
我不喜欢学校。	[["I don't like school.", 386739.0]]
明天来看看我。	[['Come and see me tomorrow.', 323473.0]]
我不爱她。	[["I don't love her.", 261346.0]]
我能叫你Bob吗？	[['Can I call you Bob?', 68814.0]]
我的名字叫Hopkins。	[['My name is Hopkins.', 23532.0]]
我昨天很高兴。	[['I was happy yesterday.', 257773.0]]
我能和老师说话吗？	[['May I speak with the teacher?', 1265422.0]]
她看我。	[['She looked at me.', 314431.0]]
你好，我叫 Nancy。	[['Hello, I am Nancy.', 242649.0]]
我十八岁。	[['I am 18 years old.', 1103301.0]]
我很喜欢看书。	[['I love reading books.', 259747.0]]
对不起，我爱你。	[["I'm sorry, I love you.", 352615.0]]
我是好人。	[["I'm a nice dude.", 4296662.0]]
他和我是老师.	[['He and I are teachers.', 284475.0]]
我喜欢茶。	[['I like tea.', 253293.0]]
是我的，不是他的。	[["It's mine, not his.", 458056.0]]
我不是来了吗？	[["I came, didn't I?", 405503.0]]
Bob是我朋友。	[['Bob is my friend.', 33182.0]]
我明天能来。	[['I can come tomorrow.', 421381.0]]
我喜欢吃苹果。	[['I like to eat apples.', 255926.0]]
你好，Roger。我很好！	[["Hi, Roger. I'm doing well.", 451769.0]]
你爱我吗？	[['Do you love me?', 321497.0]]
我的工作是什么？	[['What are my tasks?', 464500.0]]
他很少来看我。	[['He seldom comes to see me.', 293034.0]]
我冷。	[["I'm cold.", 455947.0]]
那是我的猫。	[["That's my cat.", 471758.0]]
我现在能去了吗？	[['May I go now?', 2846104.0]]
他是我的朋友。	[["He's my friend.", 555114.0]]
我看电视。	[['I watch television.', 39164.0]]
我会回来的。	[["I'll come back.", 261982.0]]
我16岁了。	[["I'm sixteen.", 9352975.0]]
我是大学生。	[["I'm a student in a university.", 1332122.0]]
