Num	Phrase	Translation
74	他是个日本少年。	[['He is a Japanese boy.', 302228.0], ["He's a Japanese boy.", 10585988.0]]
75	猫坐在桌子上。	[['The cat is sitting on the table.', 3065763.0], ['The cat is sitting on top of the table.', 535007.0]]
76	这是什么？	[['What is this?', 392210.0], ["What's this?", 413821.0]]
77	他是谁？	[['Who is he?', 347331.0], ["Who's he?", 2203694.0]]
78	太好了！	[['Great!', 395934.0]]
79	他是医生。	[['He is a doctor.', 293611.0], ["He's a doctor.", 5226593.0]]
80	今天是星期一。	[["It's Monday.", 238862.0], ["It's Monday today.", 437971.0]]
81	她看我。	[['She looked at me.', 314431.0]]
82	你好，我叫 Nancy。	[['Hello， I am Nancy.', 242649.0]]
83	我想喝点东西。	[["I'd like something to drink.", 25194.0]]
84	我十八岁。	[['I am eighteen years old.', 282225.0], ["I'm 18 years old.", 699465.0], ['I am 18 years old.', 1103301.0]]
85	我很喜欢看书。	[['I love reading books.', 259747.0]]
86	对不起，我爱你。	[["I'm sorry， I love you.", 352615.0], ["I'm sorry， I love you.", 352615.0]]
87	你是学生吗？	[['Are you a student?', 69521.0], ['Are you a student?', 69521.0]]
88	你不去吗？	[["Won't you go?", 241051.0]]
89	那人是谁？	[['Who is that person?', 450137.0], ['Who is this person?', 488778.0]]
90	她回家了。	[['She went home.', 312850.0]]
91	你想太多了。	[['I think you worry too much.', 241022.0], ['You think too much.', 240995.0], ["You're thinking too much.", 2535041.0], ["You're reading too much into this.", 2535042.0], ["You're reading too much into things.", 2535043.0]]
92	他是个好学生。	[['He is a good student.', 293224.0]]
93	喝点东西吗？	[['Want a drink?', 27379.0]]
94	你想去看电影吗？	[['Do you feel like going to the theater?', 69672.0]]
95	我想你读一读这本书。	[['I want you to read this book.', 17440.0]]
96	他是个好人。	[["He's a good person.", 2368.0], ["He's a good man.", 2258565.0], ["He's a good person.", 2368.0], ['He is a good fellow.', 288943.0], ["He's a good guy.", 1853760.0], ["He's a good man.", 2258565.0], ["He's a good lad.", 2675712.0]]
97	这些书是谁的？	[['Whose books are these?', 55087.0]]
98	你好。	[['Hello!', 373330.0], ['Hi.', 538123.0]]
99	我是好人。	[["I'm a nice guy.", 838729.0], ["I'm a good person.", 1492934.0], ["I'm a nice dude.", 4296662.0]]
100	谢谢你。	[['Thank you!', 374827.0], ['Thank you.', 1876041.0], ['I thank you.', 252766.0]]
101	没关系！	[["It doesn't matter!", 675980.0], ['No problem.', 551443.0]]
102	你是哪里人？	[['Where are you from?', 370703.0]]
103	你什么时候回家？	[['When will you come home?', 24581.0], ['When will you return home?', 868637.0], ['When are you coming home?', 499531.0], ['When are you going home?', 398929.0]]
104	我有很多朋友。	[['I have many friends.', 341634.0], ['I have lots of friends.', 1887361.0], ['I have a lot of friends.', 1970163.0], ["I've got a lot of friends.", 5499276.0], ["I've got plenty of friends.", 2359682.0], ['I have plenty of friends.', 1970165.0]]
105	这是什么东西？	[['What the hell is this?', 380257.0], ["What's this?", 413821.0], ['What is that?', 464592.0], ['What is this?', 392210.0]]
106	我在吃个苹果。	[['I am eating an apple.', 29612.0]]
107	我是一个大学生。	[['I am a university student.', 275627.0], ["I'm at university.", 10657353.0], ["I'm a college student.", 568944.0], ["I'm a university student.", 568945.0], ['I am a college student.', 602532.0], ['I go to university.', 3378098.0], ['I am a student in a university.', 1164903.0], ["I'm a student in a university.", 1332122.0]]
108	我想睡觉。	[['I want to sleep.', 321870.0]]
109	这里很冷。	[['It is very cold here.', 61669.0], ["It's very cold here.", 2713677.0]]
110	大家都认识他的名字。	[['Everybody knows his name.', 276452.0]]
111	一、二、三、四、五、六、七、八、九、十。	[['One， two， three， four， five， six， seven， eight， nine， ten.', 413731.0]]
112	我有好多朋友。	[['I have many friends.', 341634.0]]
113	我们不认识他。	[["We don't know him.", 383016.0]]
114	他有三个女儿。	[['He has three daughters.', 452768.0]]
115	今天星期几？	[['What day is it today?', 476431.0]]
116	上个月是十一月吗？	[['Was last month November?', 707022.0]]
117	这个月是几月？	[['What month is this?', 488730.0]]
118	明天天气会好吗？	[['Will the weather be good tomorrow?', 386687.0]]
119	他怎么没来？	[['What prevented him from coming?', 38630.0], ["How come he didn't show up?", 395264.0]]
120	你今天怎么样？	[['How are you doing today?', 429851.0]]
121	我不想去学校。	[["I don't want to go to school.", 1860.0]]
122	好多了。	[["It's better.", 691604.0]]
123	我一点都不好。	[['I am not well at all.', 259287.0], ["I'm not well at all.", 6873242.0]]
124	你喜欢日本菜吗？	[['Do you like Japanese food?', 281698.0], ['Do you like Japanese cuisine?', 7964616.0]]
125	他和我是老师.	[['He and I are teachers.', 284475.0]]
126	这是DVD。	[['This is a DVD.', 392212.0]]
127	这些是谁的书？	[['Whose books are these?', 55087.0]]
128	我写了这本书。	[['I wrote this book.', 321315.0]]
129	你好，怎么样？	[['Good day， how are you?', 415678.0]]
130	你喜欢什么？	[['What do you like?', 16274.0], ['What are you fond of?', 17393.0]]
131	你是谁？	[['Who are you?', 356200.0], ['Who are you?', 356200.0]]
132	我们昨天不在家。	[["We weren't at home yesterday.", 396391.0]]
133	哪本书是你的？	[['Which is your book?', 36873.0], ['Which book is yours?', 37928.0], ['Which book is yours?', 37928.0]]
134	这本书我昨天买了。	[['I bought the book yesterday.', 257726.0]]
135	你有很多朋友吗？	[['Do you have many friends?', 324418.0]]
136	现在呢？	[['And now?', 397570.0]]
137	钱太多了吗？	[['Too much money?', 18628.0]]
138	是十月三日。	[["It's the third of October.", 73449.0], ["It's October the third.", 398977.0]]
139	我有一个女儿。	[['I have a daughter.', 261892.0]]
140	我喜欢茶。	[['I like tea.', 253293.0]]
141	哪一个你喜欢一点？	[['Which one do you prefer?', 687708.0], ['Which one do you like better?', 1506872.0]]
142	这个东西是你的吗？	[['Is that thing yours?', 498444.0]]
143	是我的，不是他的。	[["It's mine， not his.", 458056.0]]
144	请吃点菜。	[['Please eat something.', 402749.0]]
145	我不在的时候有没有人来？	[['Did anyone come in my absence?', 252066.0]]
146	那你是怎么做的？	[['What did you do then?', 43167.0], ['How did you do that?', 759358.0]]
147	桌子上有本书。	[['There is a book on the table.', 39600.0]]
148	我不是来了吗？	[["I came， didn't I?", 405503.0]]
149	你在家里吗？	[['Are you at home?', 405500.0]]
150	我没有猫。	[['I do not have a cat.', 259880.0], ["I don't have a cat.", 881861.0]]
151	你是怎么认识他的？	[['How did you get to know him?', 38626.0]]
152	家里有没有人？	[['Is anybody home?', 276298.0], ['Is there anybody in the house?', 788244.0]]
153	在下雨。	[['It is raining.', 1862.0], ["It's raining.", 456237.0]]
154	我们三个都是学生。	[['All three of us are students.', 410486.0]]
155	有什么喝的吗？	[['Do you have any drinks?', 410497.0]]
156	昨天的天气很热。	[['It was hot yesterday.', 244519.0]]
157	Bob是我朋友。	[['Bob is my friend.', 33182.0]]
158	请坐一下。	[['Please sit down.', 415594.0], ['Please have a seat.', 38572.0]]
159	你想吃什么？	[['What do you want to eat?', 372015.0], ['What would you like to eat?', 400191.0]]
160	你想喝什么？	[['What would you like to drink?', 24765.0]]
161	你怎么没有来？	[["Why didn't you come?", 24657.0]]
162	我想喝点什么。	[['I would like something to drink.', 419708.0], ['I want something to drink.', 25192.0], ["I'd like something to drink.", 25194.0]]
163	你现在在做什么？	[['What are you doing?', 16492.0], ['What are you doing right now?', 569284.0], ['What are you doing now?', 241947.0]]
164	这东西多少钱？	[['How much does this cost?', 432824.0], ['How much is this thing?', 998434.0]]
165	我明天能来。	[['I can come tomorrow.', 421381.0]]
166	你喜欢吗 ?	[['Like it?', 20386.0], ['You like it?', 424901.0], ['Do you like it?', 433500.0]]
167	他六点回来了。	[['He returned at six.', 761927.0]]
168	这是日本。	[['Here is Japan.', 453454.0]]
169	太多了。	[["That's too much.", 31571.0]]
170	他有三个儿子。	[['He has three sons.', 430778.0]]
171	你认识他吗?	[['Do you know him?', 69003.0]]
172	我喜欢吃苹果。	[['I like to eat apples.', 255926.0]]
173	你好，Roger。我很好！	[["Hi， Roger. I'm doing well.", 451769.0]]
174	我想吃点东西。	[["I'd like something to eat.", 25078.0], ['I want something to eat.', 25072.0], ['I want to eat something.', 256362.0]]
175	你回来了吗？	[["You've come back?", 448189.0]]
176	今天天气很热。	[["It's hot today.", 242881.0]]
177	有人吗？	[['Is anybody here?', 276105.0]]
178	他多大了？	[['How old is he?', 288982.0]]
179	你爱我吗？	[['Do you love me?', 321497.0]]
180	他来了没有？	[['Has he come yet?', 293048.0]]
181	看这本书。	[['Read this book.', 56828.0]]
182	这是你的狗。	[['This is your dog.', 461910.0]]
183	那是什么？	[["What's that?", 66989.0], ["What's this?", 413821.0], ['What is that?', 464592.0], ['What is over there?', 25235.0], ["What's that?", 66989.0], ['What is that?', 464592.0]]
184	我不喜欢这个。	[["I don't like this one.", 55765.0]]
185	大家好！	[['Hi， everybody!', 466652.0], ['Hello everyone!', 854117.0], ['Hello everybody!', 1181558.0], ['Hello all!', 2969508.0], ['Hi， everyone!', 10625665.0], ['Hi， everybody.', 3924471.0]]
186	你去看医生了吗？	[['Did you go to the doctor?', 28063.0], ['Did you see a doctor?', 28040.0]]
187	我的工作是什么？	[['What are my tasks?', 464500.0]]
188	电影好看吗？	[['Was the movie good?', 26452.0]]
189	你是怎么认识她的？	[['How did you come to know her?', 16493.0]]
190	他很少来看我。	[['He seldom comes to see me.', 293034.0]]
191	你现在是大人了。	[['You are now an adult.', 16387.0]]
192	我冷。	[['I am cold.', 436325.0], ["I'm cold.", 455947.0]]
193	这是你的家人吗？	[['Is this your family?', 2661923.0]]
194	那是我的猫。	[["That's my cat.", 471758.0]]
195	看！她来了！	[['There! She comes!', 43221.0]]
196	对不起。	[["I'm sorry.", 38387.0], ['Excuse me.', 433504.0], ['Sorry.', 3378159.0]]
197	少了什么？	[['What is missing?', 25227.0]]
198	开电视。	[['Turn on the TV.', 1180903.0]]
199	你好吗？	[['How is it going?', 38308.0], ['How are you doing?', 38926.0], ["How's it going?", 277972.0], ['How are you?', 373320.0], ["How're you doing?", 1849719.0], ['How are you?', 373320.0]]
200	你是大学生吗？	[['Are you a college student?', 275628.0]]
201	那不是猫。那是狗。	[["That's not a cat. That's a dog.", 475485.0], ["That's not a cat. It's a dog.", 475753.0]]
202	我现在能去了吗？	[['May I go now?', 2846104.0]]
203	是的。	[['Yes.', 477086.0]]
204	你在吗？	[['Are you there?', 30970.0]]
205	他有很多钱。	[['He has a lot of money.', 480576.0], ['He has lots of money.', 1311867.0]]
206	他是不是医生？	[['Is he a doctor?', 293616.0]]
207	我住了一个星期的医院。	[['I was in the hospital for a week.', 27717.0], ['I was in hospital for a week.', 3290268.0], ['I spent a week in the hospital.', 2732569.0], ['I spent a week in hospital.', 2338695.0]]
208	现在他做什么？	[['What is he doing now?', 296533.0]]
209	他是我太太认识的一个人。	[['He is acquainted with my wife.', 297857.0]]
210	这个人是谁？	[['Who is this person?', 488778.0]]
211	他是我的朋友。	[['He is my friend.', 298009.0], ["He's my friend.", 555114.0]]
212	这是谁的书？	[['Whose book is this?', 54871.0], ['Whose book is that?', 67044.0], ['Whose book is this?', 54871.0]]
213	我看电视。	[['I watch television.', 39164.0]]
214	很高兴认识你。	[['I am delighted to meet you.', 71174.0], ["It's nice meeting you.", 712979.0], ["I'm glad to know you.", 64648.0], ['Nice to meet you.', 499617.0], ["It's a pleasure to make your acquaintance.", 3722170.0], ['Nice to meet you.', 499617.0]]
215	这些东西不是我的！	[["These things aren't mine!", 1652.0]]
216	几点了？	[['What time is it?', 428402.0], ['What time is it?', 428402.0]]
217	没有人来了。	[['No one came.', 2238072.0]]
218	你有一些书。	[['You have some books.', 16791.0]]
219	你太太怎么样？	[['How is your wife?', 879669.0]]
220	我会回来的。	[["I'll come back.", 261982.0]]
221	你十岁了吗？	[['Are you ten years old?', 69226.0], ['Are you ten?', 4321203.0]]
222	他不喜欢我们。	[['He does not like us.', 773913.0]]
223	我16岁了。	[['I turned 16.', 2846027.0], ['I am sixteen years old.', 258523.0], ["I'm sixteen years old.", 4002431.0], ['I am 16 years old.', 9014373.0], ["I'm sixteen.", 9352975.0]]
224	这很好。	[['This is very good.', 55871.0]]
225	我有一本书。	[['I have a book.', 2793249.0]]
226	这个学校有很多学生。	[['This school has many students.', 59930.0]]
227	人不吃人。	[["Man doesn't eat man.", 541842.0]]
228	这是火车站吗？	[['Is that the railroad station?', 403071.0]]
229	我是大学生。	[['I am a university student.', 275627.0], ["I'm a college student.", 568944.0], ["I'm a university student.", 568945.0], ["I'm at university.", 10657353.0], ['I go to university.', 3378098.0], ['I am a college student.', 602532.0], ['I am a student in a university.', 1164903.0], ["I'm a student in a university.", 1332122.0]]
230	这本书的名字是什么？	[['What is the title of the book?', 43949.0], ["What's the title of the book?", 7810470.0]]
231	我回来了。	[["I'm back.", 564159.0], ['I have returned.', 695250.0], ["I've returned.", 895096.0]]
232	他想明天去看你。	[['He will come to you tomorrow.', 304079.0]]
233	你太漂亮了！	[["You're so beautiful!", 385394.0]]
234	我想她不会在家里。	[['I do not think that she is at home.', 312847.0]]
235	我很喜欢苹果。	[['I like apples.', 262240.0], ['I love apples.', 452809.0]]
236	我有几个好朋友。	[['I have several good friends.', 249862.0]]
237	你的学校有多少个学生？	[['How many pupils are there in your school?', 17284.0]]
238	哪个是我的？	[['Which is mine?', 38002.0], ['Which one is mine?', 1432893.0]]
239	今天是星期六。	[['Today is Saturday.', 661572.0]]
240	请坐。	[['Sit down， please.', 38571.0], ['Please take a seat.', 38593.0], ['Please take your seat.', 64719.0], ['Sit down.', 1553397.0]]
241	我喜欢看电影。	[['I am fond of the cinema.', 256157.0], ['I like movies.', 521655.0], ['I love going to the movies.', 511906.0], ['I like watching movies.', 684673.0]]
242	你多大了？	[['How old are you?', 436243.0]]
243	他在睡觉吗?	[['Is he sleeping?', 299819.0]]
244	昨天我十点去睡觉了。	[['I went to bed at ten yesterday.', 1113624.0], ['Yesterday， I went to bed at ten.', 10135309.0]]
245	他叫什么名字？	[['What is his name?', 287637.0]]
246	想喝什么？	[['What do you want to drink?', 400184.0]]
247	大家都喜欢他。	[['Everybody likes him.', 451281.0], ['Everybody loves him.', 505722.0], ['Everyone loves him.', 506442.0], ['He is liked by everybody.', 292994.0]]
248	吃了没。	[['Have you eaten?', 953286.0]]
249	很多学生买了这本书。	[['Many students bought the book.', 274912.0], ['Many students bought the book.', 274912.0]]
250	我有很多书。	[['I have many books.', 254923.0], ['I have a lot of books.', 885290.0]]
251	我没有钱。	[['I have no money.', 433613.0], ["I don't have money.", 868955.0]]
252	你呢？	[['How about you?', 16491.0], ['And you?', 524168.0], ['What about you?', 1642551.0]]
253	不客气。	[["You're welcome.", 403068.0], ['You are welcome.', 687904.0]]
254	你想喝点东西吗？	[['Do you want something to drink?', 64760.0]]
255	他今天下午会来的。	[['He will come this afternoon.', 296197.0]]
256	很好，谢谢。	[['Fine， thanks.', 707195.0]]
257	我家没有电脑。	[["I don't have a computer at home.", 708138.0]]
258	我能吃这个吗?	[['May I eat this?', 710394.0]]
259	你今天几点回家？	[['What time will you go home today?', 717295.0]]
260	请叫我 Taro。	[['Please call me Taro.', 275173.0]]
261	我叫他来的。	[['I told him to come.', 260501.0]]
262	你住这里吗?	[['Do you live here?', 15882.0]]
263	她很漂亮。	[['She is beautiful.', 410244.0], ["She's beautiful.", 795927.0], ["She's pretty.", 795929.0]]
264	我叫Andrea。	[['My name is Andrea.', 378663.0]]
265	你住哪里？	[['Where do you live?', 370708.0]]
266	我学习。	[['I study.', 750342.0]]
267	多少苹果？	[['How many apples are there?', 1164076.0]]
268	我爱她。	[['I love her.', 261221.0], ['I love her.', 261221.0]]
269	多少钱?	[['How much is it?', 2418.0], ['How much does it cost?', 436193.0]]
270	我喜欢你。	[['I like you.', 410751.0], ['I like you.', 410751.0]]
271	我爱上了你。	[['I fell in love with you.', 762039.0]]
272	这本书不是我的。	[["This book isn't mine.", 726366.0]]
273	不, 我没有。	[["No， I don't have it.", 1016240.0]]
274	今天下午会下雨吗？	[['Will it rain this afternoon?', 240052.0]]
275	Bill有很多朋友。	[['Bill has many friends.', 34569.0], ['Bill has a lot of friends.', 439346.0]]
276	Bill的朋友很多。	[['Bill has many friends.', 34569.0]]
277	你喜欢吃什么？	[['What do you like to eat?', 370691.0]]
278	他不在家。	[["He's not home.", 1310853.0], ["He isn't home.", 2931499.0], ["He isn't at home.", 1842272.0]]
279	我什么都没看见。	[["I didn't see anything.", 1034660.0], ['I did not see anything.', 8121228.0], ["I haven't seen anything.", 2360239.0], ["I haven't seen a thing.", 3096257.0], ['I saw nothing.', 256395.0]]
280	有人打电话来。	[['Someone called.', 765402.0]]
281	是, 我来了。	[["Yes， I'm coming.", 72123.0]]
282	这本书是你的。	[['This book is yours.', 236799.0]]
283	我请你。	[["I'll treat you.", 17568.0]]
284	我想没关系。	[["I think it's OK.", 433884.0], ["I think that it's OK.", 8385932.0], ["I think it's fine.", 2407944.0]]
285	她不喜欢他。	[['She disliked him.', 388372.0], ["She didn't like him.", 388373.0]]
286	很大, 不是吗?	[["Large， isn't it?", 435613.0]]
287	这是你零钱。	[['Here is your change.', 2421.0]]
288	对不起, 我没有零钱。	[["I'm sorry， I don't have change.", 2425.0]]
289	我们喜欢看电视。	[['We enjoyed watching the TV.', 248056.0], ['We enjoyed watching TV.', 588352.0]]
290	你昨天没来学校, 是吗?	[["You didn't come to school yesterday， did you?", 16114.0]]
291	你想做什么?	[['What do you intend to do?', 16259.0]]
292	这个太大了。	[['This is too big.', 55535.0]]
293	她想去哪里?	[['Where does she want to go?', 776135.0]]
294	他想去哪里?	[['Where does he want to go?', 776134.0]]
295	认识他的人都爱他。	[['He was loved by everyone that knew him.', 777583.0]]
296	请。	[['Please.', 393357.0]]
297	你几岁?	[['How old are you?', 436243.0]]
298	这水很好喝。	[['This water tastes good.', 58297.0]]
299	她昨天去那里。	[['She went there yesterday.', 313813.0]]
300	这些是人。	[['These are people.', 463120.0]]
301	叫什么名字?	[["What's your name?", 408293.0]]
302	今天没昨天冷。	[['It is less cold today than it was yesterday.', 242847.0]]
303	你有多少朋友？	[['How many friends do you have?', 569276.0]]
304	他去了商店。	[['He went to the store.', 485111.0]]
305	谁是你老师？	[['Who is your teacher?', 17660.0]]
306	你爸爸在哪里？	[["Where's your father?", 2254680.0]]
307	我是Tom Hunter。	[["I'm Tom Hunter.", 33513.0]]
308	我的没有你的好。	[['Mine is not so good as yours.', 251798.0]]
309	明天怎么样？	[['How about for tomorrow?', 323131.0]]
310	你几点回家？	[['What time do you go home?', 70296.0]]
311	你有吗？	[['Do you have one?', 16547.0], ['Do you have some?', 10061387.0], ['Do you have any?', 5328742.0]]
312	你的东西在哪里?	[['Where are your things?', 17110.0]]
313	我很好。	[["I'm fine.", 257272.0]]
314	他是老师吗?	[['Is he a teacher?', 300638.0]]
315	他来看我了。	[['He came to see me.', 297579.0]]
316	这是我女儿。	[['This is my daughter.', 61484.0]]
317	你儿子几岁?	[['How old is your son?', 436251.0]]
318	没有椅子坐。	[["There's no chair to sit upon.", 243640.0]]
319	我在星期日不工作。	[['Sunday is not a workday for me.', 281841.0]]
320	我有了吗？	[['Am I pregnant?', 434202.0]]
321	天气好冷。	[["It's freezing.", 52011.0]]
322	我妈妈很漂亮。	[['My mother is beautiful.', 250277.0]]
323	请写下你的名字。	[['Please write down your name.', 70355.0]]
324	我朋友都叫我Beth。	[['My friends call me Beth.', 324421.0]]
325	来一下！	[['Come here!', 5295840.0]]
326	下午好。	[['Good afternoon.', 499689.0]]
327	我想你。	[['I missed you.', 407574.0]]
328	他在20岁的时候写了这本书。	[['He wrote this book at the age of twenty.', 288476.0]]
329	我爱上了她。	[['I fell in love with her.', 308938.0]]
330	零在一前面。	[['Zero comes before one.', 682520.0]]
331	他是我的菜!	[['He is my type!', 284379.0]]
332	没有人听我的。	[['No one listened to me.', 817944.0]]
333	这里，现在。	[['Here and now.', 3527401.0]]
334	我们去学校学习。	[['We go to school to study.', 249354.0]]
335	我不是学生。	[["I'm not a student.", 258994.0], ['I am not a student.', 1354298.0]]
336	不，我没去。	[["No， I didn't go.", 516735.0]]
337	那是很大的。	[["That's very big.", 450005.0]]
338	那是一本书。	[["That's a book.", 515535.0]]
339	昨天下雨了。	[['It rained yesterday.', 63300.0]]
340	我会做的。	[["I'll do it.", 433474.0], ['I will do it.', 2861785.0]]
341	你是日本人吗？	[['Are you Japanese?', 515572.0], ['Are you Japanese?', 515572.0]]
342	我不想一个人住。	[["I don't want to live alone.", 662603.0]]
343	她八十一岁了。	[['She turned eighty-one.', 388583.0]]
344	他爱她。	[['He loves her.', 394633.0]]
345	我爱电影。	[['I love movies.', 521657.0]]
346	我不认识她。	[["I don't know her.", 387602.0]]
347	这些是你的东西吗？	[['Are these your things?', 442733.0]]
348	这里有一本书。	[['Here is a book.', 61725.0], ["There's a book here.", 515536.0]]
349	那是你的书。	[['That is your book.', 67105.0]]
350	你会做什么？	[['What will you make?', 511883.0]]
351	她是我的同学。	[["She's my classmate.", 321453.0]]
352	你怎么样？	[['How about you?', 16491.0]]
353	那你呢?	[['How about you?', 16491.0]]
354	我认识他。	[['I know him.', 71751.0]]
355	你喜欢吗？	[['Do you like it?', 433500.0]]
356	我在他后面。	[["I'm behind him.", 403370.0]]
357	那些狗都很大。	[['Those dogs are big.', 67020.0]]
358	她在做什么？	[["What's she doing?", 388890.0]]
359	请坐下。	[['Please sit down.', 415594.0]]
360	他喜欢看电视。	[['He likes to watch TV.', 291890.0], ['He likes watching TV.', 388834.0]]
361	我不喜欢电影。	[["I don't like movies.", 419109.0]]
362	这些狗很大。	[['These dogs are big.', 55306.0]]
